file	field_path	verdict	notes
acmcertificate.aws.kropath.run.yaml	spec.certificateAuthorityARN	omit	Optional for public CA; "" fails AWS API for private CA issuance. 1-flag family.
acmedomainvalidation.aws.kropath.run.yaml	spec.acmeEndpointARN	omit	Ref-resolved; "" fails if ref not ready. 1-flag family.
acmprivatecertificate.aws.kropath.run.yaml	spec.certificateAuthorityARN	omit	Required field for private cert; both resource variants share this 1 flag. APPLIED (KRO-925 follow-up): includeWhen now also requires the CA ref to be resolved, so the "" arm is unreachable.
apigatewayauthorizer.aws.kropath.run.yaml	spec.restAPIID	benign	restApiCr already gated upstream; authorizer node has its own includeWhen. Sending "" here would cause ACK error but timing should already be handled.
apigatewayrestapi.aws.kropath.run.yaml	spec.connectionRef.from.name	benign	Inside a list transform over schema.spec routes; "" only appears inside a conditional arm (connectionType=="VPC_LINK"), never emitted for non-VPC_LINK entries.
apigatewayrestapi.aws.kropath.run.yaml	spec.securityPolicy	omit	Optional TLS policy; "" causes ACK to reject. 1-flag family.
apigatewayv2httpapi.aws.kropath.run.yaml	spec.authorizerRef.from.name	benign	Inside a transformList over routes; only emitted when route.authorizerRef != "". The script caught the overall list expression; individual items are conditionally guarded.
apigatewayv2httpapi.aws.kropath.run.yaml	spec.connectionRef.from.name	benign	Same — conditionally guarded inside transformList.
apigatewayv2httpapi.aws.kropath.run.yaml	spec.targetRef.from.name	benign	Same — conditionally guarded.
apigatewayv2websocketapi.aws.kropath.run.yaml	spec.authorizerRef.from.name	benign	Same pattern as httpapi equivalent.
apigatewayv2websocketapi.aws.kropath.run.yaml	spec.connectionRef.from.name	benign	Same.
apigatewayv2websocketapi.aws.kropath.run.yaml	spec.targetRef.from.name	benign	Same.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.defaultCacheBehavior.viewerProtocolPolicy	escalate	Part of CloudFront family with 8 omit-candidate fields. Escalate to KRO-928.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.httpVersion	escalate	Same family — KRO-928.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.logging.bucket	escalate	Same family — KRO-928.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.origins.items	escalate	Same family — KRO-928. (transformList internal "" values)
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.priceClass	escalate	Same family — KRO-928.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.restrictions.geoRestriction.restrictionType	escalate	Same family — KRO-928.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.viewerCertificate.minimumProtocolVersion	escalate	Same family — KRO-928.
cloudfrontdistribution.aws.kropath.run.yaml	spec.distributionConfig.viewerCertificate.sslSupportMethod	escalate	Same family — KRO-928.
cloudfrontoriginaccesscontrol.aws.kropath.run.yaml	spec.originAccessControlConfig.signingBehavior	omit	Optional; AWS requires "always"|"never"|"no-override". "" fails. 1-flag family.
cloudwatchlogsloggroup.aws.kropath.run.yaml	spec.kmsKeyID	omit	Optional KMS encryption ARN. "" sent to ACK causes API error. 1-flag family.
dsqlcluster.aws.kropath.run.yaml	spec.kmsEncryptionKey	omit	Optional KMS key for DSQL. "" sent means no encryption but ACK may reject "". 2-flag family (with witnessRegion).
dsqlcluster.aws.kropath.run.yaml	spec.multiRegionProperties.witnessRegion	omit	Optional witness region for multi-region. "" is invalid region code. 2-flag family. APPLIED (KRO-925 follow-up): the two NoWitness variants existed but still rendered witnessRegion:""; the key is now omitted from them.
dynamodbtable.aws.kropath.run.yaml	spec.billingMode	escalate	Part of DynamoDB family with 6 omit-candidate fields. Escalate to KRO-928.
dynamodbtable.aws.kropath.run.yaml	spec.contributorInsights	escalate	Same family — KRO-928.
dynamodbtable.aws.kropath.run.yaml	spec.resourcePolicy	escalate	Same family — KRO-928.
dynamodbtable.aws.kropath.run.yaml	spec.sseSpecification.kmsMasterKeyID	escalate	Same family — KRO-928.
dynamodbtable.aws.kropath.run.yaml	spec.sseSpecification.sseType	escalate	Same family — KRO-928.
dynamodbtable.aws.kropath.run.yaml	spec.tableClass	escalate	Same family — KRO-928.
ec2instance.aws.kropath.run.yaml	spec.blockDeviceMappings	benign	"" appears inside a conditional map over optional bdm subfields (e.g. noDevice). Only emitted when the user explicitly sets the block device to noDevice. Not a fallback bug.
ec2launchtemplate.aws.kropath.run.yaml	spec.data.blockDeviceMappings	benign	Same pattern as ec2instance.
ecrrepository.aws.kropath.run.yaml	spec.encryptionConfiguration.encryptionType	default=AES256	AWS default is AES256. Final cascade fallback should be "AES256" not "". Simple in-place edit.
ecrrepository.aws.kropath.run.yaml	spec.encryptionConfiguration.kmsKey	omit	Only valid when encryptionType=KMS; "" causes ACK API error. 2-flag family (with lifecyclePolicy).
ecrrepository.aws.kropath.run.yaml	spec.imageTagMutability	default=MUTABLE	AWS default is MUTABLE. Final cascade fallback should be "MUTABLE" not "". Simple in-place edit.
ecrrepository.aws.kropath.run.yaml	spec.lifecyclePolicy	omit	Optional policy document. "" causes ACK to POST empty lifecycle policy. 2-flag family.
ecsservice.aws.kropath.run.yaml	spec.launchType	omit	Optional; mutually exclusive with capacityProviderStrategy. "" breaks ECS API. 2-flag family (with platformVersion).
ecsservice.aws.kropath.run.yaml	spec.platformVersion	omit	Optional (Fargate only). "" is invalid for EC2 launch type. 2-flag family.
ecstaskdefinition.aws.kropath.run.yaml	spec.cpu	escalate	Part of ECS task definition with 3 omit fields. Escalate to KRO-928.
ecstaskdefinition.aws.kropath.run.yaml	spec.memory	escalate	Same family — KRO-928.
ecstaskdefinition.aws.kropath.run.yaml	spec.networkMode	escalate	Same family — KRO-928.
efsfilesystem.aws.kropath.run.yaml	spec.kmsKeyID	omit	Optional KMS encryption. "" causes ACK API error. 1-flag family.
efsfilesystem.aws.kropath.run.yaml	spec.lifecyclePolicies	benign	Complex list expression. "" only appears inside individual policy items' transitionToIA values when user sets them to empty — not a fallback at the list level. Needs deeper per-item verification before acting.
ekscluster.aws.kropath.run.yaml	spec.version	omit	Optional K8s version; EKS defaults to latest when not specified but "" causes API error. 1-flag family.
elblistener.aws.kropath.run.yaml	spec.sslPolicy	omit	Optional TLS policy; only meaningful for HTTPS listeners. "" fails ACK validation. 1-flag family.
elbloadbalancer.aws.kropath.run.yaml	spec.attributes	benign	"" appears inside a static attribute value in the list literal — a fixed constant for a specific attribute key, not a variable fallback. Needs per-attribute review.
elbtargetgroup.aws.kropath.run.yaml	spec.attributes	benign	Same pattern as elbloadbalancer — fixed attribute constants.
elbtargetgroup.aws.kropath.run.yaml	spec.healthCheckPath	escalate	Part of ELB TG family with 3 healthCheck omit fields. Escalate to KRO-928.
elbtargetgroup.aws.kropath.run.yaml	spec.healthCheckPort	escalate	Same family — KRO-928.
elbtargetgroup.aws.kropath.run.yaml	spec.healthCheckProtocol	escalate	Same family — KRO-928.
eventbridgearchive.aws.kropath.run.yaml	spec.eventSourceARN	omit	Ref-resolved; "" if eventBusRef CR not ready. eventSourceARN is required for archives. 1-flag family.
gluejob.aws.kropath.run.yaml	spec.executionClass	escalate	Part of Glue job family with 4 omit-candidate fields. Escalate to KRO-928.
gluejob.aws.kropath.run.yaml	spec.glueVersion	escalate	Same family — KRO-928.
gluejob.aws.kropath.run.yaml	spec.securityConfiguration	escalate	Same family — KRO-928.
gluejob.aws.kropath.run.yaml	spec.workerType	escalate	Same family. Note: expression intentionally returns "" when maxCapacity>0 (not-a-bug for that arm). Still wrong for the non-maxCapacity arm. KRO-928.
iamrole.yaml	spec.assumeRolePolicyDocument	benign	Complex ref-based expression; "" only when trustDoc CR is unavailable AND no direct spec value. The RGD likely gates the role on trustDoc availability. Needs verification — flag for manual review.
iamuser.yaml	spec.inlinePolicies	benign	"" appears in a conditional arm that's only reached when policies.size() > 0. The overall list expression is guarded. Not a fallback bug.
kmskey.yaml	spec.keySpec	benign	FALSE POSITIVE: orValue("") in true branch where mandatory.keySpec IS set. Final fallback is "SYMMETRIC_DEFAULT". No fix needed.
kmskey.yaml	spec.keyUsage	benign	FALSE POSITIVE: same pattern. Final fallback is "ENCRYPT_DECRYPT". No fix needed.
kmskey.yaml	spec.targetKeyID	omit	Alias targetKeyID is "${key.?status.?keyID.orValue("")}". When key CR not ready, sends "". Alias node likely needs includeWhen gating on key status. 1-flag family.
lambdaalias.aws.kropath.run.yaml	spec.functionName	omit	Timing: "" when fnCr status.resourceName not yet set. Alias can't be created without a function. 1-flag family.
lambdaeventsourcemapping.aws.kropath.run.yaml	spec.functionName	omit	Same timing pattern as lambdaalias. 1-flag family.
lambdafunction.aws.kropath.run.yaml	spec.codeSigningConfigARN	omit	Optional code signing. "" fails ACK. 2-flag family (with role).
